original_name,new_name
jged_v8_n1_p3.pdf,FDM_PLA_Itself_1.pdf
1-s2.0-S221486041630330X-main.pdf,FDM_PLA_Itself_2.pdf
1-s2.0-S2351978917302615-main.pdf,FDM_PLA_Itself_3.pdf
1-s2.0-S0032386108010926-main.pdf,FDM_PLA_Itself_4.pdf
Bintara_2021_IOP_Conf._Ser.%3A_Mater._Sci._Eng._1034_012096.pdf,FDM_PLA_Itself_5.pdf
s00170-014-5886-4.pdf,FDM_PLA_Itself_6.pdf
"admin,+4.++SI+JT+Vol+77.33+2015_maidin.pdf",FDM_PLA_Itself_7.pdf
document.pdf,FDM_PLA_Itself_8.pdf
1-s2.0-S2211812814005112-main.pdf,FDM_PLA_Itself_9.pdf
1-s2.0-S0032386118300326-main.pdf,FDM_PLA_Itself_10.pdf
1994-06-Comb.pdf,FDM_PLA_Itself_11.pdf
1-s2.0-S0264127517303143-main.pdf,FDM_1.pdf
1-s2.0-S0272884219317043-main.pdf,FDM_PLA_Filler_1.pdf
1-s2.0-S266635112100070X-main.pdf,FDM_PLA_Itself_12.pdf
materials-11-01322.pdf,FDM_2.pdf
1-s2.0-S2351978919310984-main.pdf,FDM_PLA_Itself_13.pdf
1-s2.0-S2214785321064671-main.pdf,FDM_PLA_Itself_14.pdf
WJET_2016102011345554.pdf,FDM_PLA_Itself_15.pdf
1-s2.0-S2214785321009962-main.pdf,FDM_PLA_Itself_16.pdf
J of Applied Polymer Sci - 2011 - Sun - Polylactide toughening with epoxy‐functionalized grafted acrylonitrile butadiene.pdf,FDM_PLA_Itself_17.pdf
1-s2.0-S2214785319312362-main.pdf,FDM_3.pdf
"adoboczi,+04_PPME_13683_P.pdf",FDM_4.pdf
1-s2.0-S1359836819343227-main.pdf,FDM_PLA_Filler_2.pdf
1-s2.0-S0263822321002051-main.pdf,FDM_5.pdf
Noroozi_2022_Biomed._Mater._17_045024.pdf,FDM_PLA_Itself_18.pdf
applsci-07-00579-v2.pdf,FDM_PLA_Itself_19.pdf
1-s2.0-S0142941822001787-main.pdf,FDM_PLA_Itself_20.pdf
STUDY OF THE INFLUENCE OF 3D PRINTING PARAMETERS ON.pdf,FDM_6.pdf
1-s2.0-S1350630722001881-main.pdf,FDM_PLA_Itself_21.pdf
1-s2.0-S2588840420300196-main.pdf,FDM_PLA_Itself_22.pdf
magri-et-al-2019-mechanical-properties-of-cf-reinforced-pla-parts-manufactured-by-fused-deposition-modeling.pdf,FDM_PLA_Itself_23.pdf
1-s2.0-S2214785320340645-main.pdf,FDM_PLA_Itself_24.pdf
074.pdf,FDM_PLA_Itself_25.pdf
s00170-018-1932-y.pdf,FDM_PLA_Itself_26.pdf
s00170-018-3047-x.pdf,FDM_PLA_Itself_27.pdf
1-s2.0-S0167844221003190-main.pdf,FDM_PLA_Itself_28.pdf
1-s2.0-S2214785320378317-main.pdf,FDM_PLA_Itself_29.pdf
1-s2.0-S1359836821005709-main.pdf,FDM_7.pdf
Feed_rate_and_volume_of_material_effects_in_fused_deposition_modeling_nozzle_wear.pdf,FDM_PLA_Itself_30.pdf
s11837-015-1367-y.pdf,FDM_PLA_Itself_31.pdf
1-s2.0-S2352492821001689-main.pdf,FDM_8.pdf
1-s2.0-S0261306914001538-main.pdf,FDM_9.pdf
s40964-021-00247-6.pdf,FDM_PLA_Itself_32.pdf
PartainS0507.pdf,FDM_PLA_Itself_33.pdf
1-s2.0-S2238785419301905-main.pdf,FDM_PLA_Filler_3.pdf
1-s2.0-S2214785320389458-main.pdf,FDM_PLA_Itself_34.pdf
1-s2.0-S2666682021000074-main.pdf,FDM_PLA_Filler_4.pdf
Demirta%C5%9F_2023_Phys._Scr._98_065923.pdf,FDM_PLA_Itself_35.pdf
1-s2.0-S2351978919311722-main.pdf,FDM_PLA_Filler_5.pdf
1-s2.0-S2589234719300557-main.pdf,FDM_PLA_Filler_6.pdf
s40964-015-0002-3.pdf,FDM_PLA_Itself_36.pdf
10.1515_agriceng-2019-0014.pdf,FDM_PLA_Itself_37.pdf
10.1515_secm-2011-0141.pdf,FDM_PLA_Itself_38.pdf
03_Harshit_Dave.pdf,FDM_PLA_Itself_39.pdf
